Date,Sentiment,Daily Change,Direction
16/05/2016,0.089821429,0.169998,UP
17/05/2016,0.1125,-3.629989,DOWN
18/05/2016,0.131150794,6.509994,UP
19/05/2016,0.266666667,4.040009,UP
20/05/2016,0,5.069992,UP
21/05/2016,0.225,-2.029999,DOWN
22/05/2016,0.5,-1.0149995,DOWN
23/05/2016,0,-1.0149995,DOWN
24/05/2016,0.15,1.690003,UP
25/05/2016,0.120833333,1.669998,UP
26/05/2016,0.05,5.539993,UP
27/05/2016,0.436666667,-2.080002,DOWN
28/05/2016,0.034027778,0.0950015,UP
29/05/2016,0.7,0.04750075,UP
30/05/2016,-0.125,0.023750375,UP
31/05/2016,0.359090909,0.023750375,UP
01/06/2016,0.20952381,-3.669998,DOWN
02/06/2016,0.1375,-0.599991,DOWN
03/06/2016,0.173989899,0.029998,UP
04/06/2016,0.010119048,0.844994,UP
05/06/2016,0.45,0.422497,UP
06/06/2016,0.16,0.422497,UP
07/06/2016,0.025,11.660003,UP
08/06/2016,0.05,3.180008,UP
09/06/2016,0.051666667,-6.160003,DOWN
10/06/2016,0.12,-10.570008,DOWN
11/06/2016,0.05,-0.459999,DOWN
12/06/2016,0.109074074,-0.2299995,DOWN
13/06/2016,0,-0.2299995,DOWN
14/06/2016,0.176136364,-2.909988,DOWN
15/06/2016,0.188911565,2.73999,UP
16/06/2016,0,0.229996,UP
17/06/2016,0.156770833,-2.459992,DOWN
18/06/2016,0,2.114998,UP
19/06/2016,-0.014285714,1.057499,UP
20/06/2016,0.65,1.057499,UP
21/06/2016,-0.0625,-0.089996,DOWN
22/06/2016,0,-22.949997,DOWN
23/06/2016,0,-0.26001,DOWN
24/06/2016,0,-3.25,DOWN
25/06/2016,0,2.7000045,UP
26/06/2016,0,1.35000225,UP
27/06/2016,0.33,1.35000225,UP
28/06/2016,0.4,3.23999,UP
29/06/2016,0.2875,8.400009,UP
30/06/2016,-0.475,2.089997,UP
01/07/2016,0,4.220001,UP
02/07/2016,0,-1.260002,DOWN
03/07/2016,0,-0.630001,DOWN
04/07/2016,0,-0.3150005,DOWN
05/07/2016,-0.13,-0.3150005,DOWN
06/07/2016,0,0.460006,UP
07/07/2016,0.098611111,1.5,UP
08/07/2016,0.33125,0.839997,UP
09/07/2016,0.013888889,4,UP
10/07/2016,0.130668934,2,UP
11/07/2016,0,2,UP
12/07/2016,0.141666667,-0.130005,DOWN
13/07/2016,0.285714286,-2.119995,DOWN
14/07/2016,0.1375,-1,DOWN
15/07/2016,0.05,-1.130005,DOWN
16/07/2016,0.312202381,2.925003,UP
17/07/2016,0.296768708,1.4625015,UP
18/07/2016,0.202651515,1.4625015,UP
19/07/2016,0.033333333,-0.990005,DOWN
20/07/2016,0.040183983,3.100006,UP
21/07/2016,0.210714286,-7.860001,DOWN
22/07/2016,0,1.770004,UP
23/07/2016,0.0125,3.8699955,UP
24/07/2016,0,1.93499775,UP
25/07/2016,0,1.93499775,UP
26/07/2016,-0.025,-0.5,DOWN
27/07/2016,0.344444444,-1.01999,DOWN
28/07/2016,0.7,2.119996,UP
29/07/2016,0.193257576,4.179992,UP
30/07/2016,0.092272727,-2.389999,DOWN
31/07/2016,0,-1.1949995,DOWN
01/08/2016,0,-1.1949995,DOWN
02/08/2016,0,-2.809998,DOWN
03/08/2016,0,-1.410004,DOWN
04/08/2016,0,4.820008,UP
05/08/2016,0,-0.580002,DOWN
06/08/2016,0,-1.9349975,DOWN
07/08/2016,0,-0.96749875,DOWN
08/08/2016,0,-0.96749875,DOWN
09/08/2016,0.155238095,2.919998,UP
10/08/2016,0.171428571,-3.430008,DOWN
11/08/2016,0.233333333,-0.73999,DOWN
12/08/2016,0,0.699997,UP
13/08/2016,0,-0.0100025,DOWN
14/08/2016,0,-0.00500125,DOWN
15/08/2016,0,-0.00500125,DOWN
