Date,Daily Change,Sentiment
28/05/2016,0.0950015,0.034027778
29/05/2016,0.04750075,0.7
30/05/2016,0.023750375,-0.125
31/05/2016,0.023750375,0.359090909
01/06/2016,-3.669998,0.20952381
02/06/2016,-0.599991,0.1375
03/06/2016,0.029998,0.173989899
04/06/2016,0.844994,0.010119048
05/06/2016,0.422497,0.45
06/06/2016,0.422497,0.16
07/06/2016,11.660003,0.025
08/06/2016,3.180008,0.05
09/06/2016,-6.160003,0.051666667
10/06/2016,-10.570008,0.12
11/06/2016,-0.459999,0.05
12/06/2016,-0.2299995,0.109074074
13/06/2016,-0.2299995,0
14/06/2016,-2.909988,0.176136364
15/06/2016,2.73999,0.188911565
16/06/2016,0.229996,0
17/06/2016,-2.459992,0.156770833
18/06/2016,2.114998,0
19/06/2016,1.057499,-0.014285714
20/06/2016,1.057499,0.65
21/06/2016,-0.089996,-0.0625
22/06/2016,-22.949997,0
23/06/2016,-0.26001,0
24/06/2016,-3.25,0
25/06/2016,2.7000045,0
26/06/2016,1.35000225,0
27/06/2016,1.35000225,0.33
28/06/2016,3.23999,0.4
29/06/2016,8.400009,0.2875
30/06/2016,2.089997,-0.475
01/07/2016,4.220001,0
02/07/2016,-1.260002,0
03/07/2016,-0.630001,0
04/07/2016,-0.3150005,0
05/07/2016,-0.3150005,-0.13
06/07/2016,0.460006,0
07/07/2016,1.5,0.098611111
08/07/2016,0.839997,0.33125
09/07/2016,4,0.013888889
10/07/2016,2,0.130668934
11/07/2016,2,0
12/07/2016,-0.130005,0.141666667
13/07/2016,-2.119995,0.285714286
14/07/2016,-1,0.1375
15/07/2016,-1.130005,0.05
16/07/2016,2.925003,0.312202381
17/07/2016,1.4625015,0.296768708
18/07/2016,1.4625015,0.202651515
19/07/2016,-0.990005,0.033333333
20/07/2016,3.100006,0.040183983
21/07/2016,-7.860001,0.210714286
22/07/2016,1.770004,0
23/07/2016,3.8699955,0.0125
24/07/2016,1.93499775,0
25/07/2016,1.93499775,0
26/07/2016,-0.5,-0.025
27/07/2016,-1.01999,0.344444444
28/07/2016,2.119996,0.7
29/07/2016,4.179992,0.193257576
30/07/2016,-2.389999,0.092272727
31/07/2016,-1.1949995,0
01/08/2016,-1.1949995,0
02/08/2016,-2.809998,0
03/08/2016,-1.410004,0
04/08/2016,4.820008,0
05/08/2016,-0.580002,0
06/08/2016,-1.9349975,0
07/08/2016,-0.96749875,0
08/08/2016,-0.96749875,0
09/08/2016,2.919998,0.155238095
10/08/2016,-3.430008,0.171428571
11/08/2016,-0.73999,0.233333333
12/08/2016,0.699997,0
13/08/2016,-0.0100025,0
14/08/2016,-0.00500125,0
15/08/2016,-0.00500125,0
16/08/2016,-1.979995,0
17/08/2016,-0.369996,0.275
18/08/2016,0.26999,0
19/08/2016,1.490005,0
20/08/2016,-1.0350035,0
21/08/2016,-0.51750175,0.275
22/08/2016,-0.51750175,0.4
23/08/2016,1.910003,0
24/08/2016,-2.220001,0.275
25/08/2016,-1.659988,0
26/08/2016,-0.970002,0.5
27/08/2016,-2.395004,0
28/08/2016,-1.197502,0.166666667
29/08/2016,-1.197502,0
30/08/2016,-3.860001,0.2
31/08/2016,0.669999,0.19125
01/09/2016,-11.239991,0.095833333
02/09/2016,-2.990005,0
03/09/2016,2.5250015,0.25
04/09/2016,1.26250075,0
05/09/2016,0.631250375,0
06/09/2016,0.631250375,0
07/09/2016,-1.119995,0
08/09/2016,-4.350006,0
09/09/2016,-2.89,0.055694444
10/09/2016,1.915001,-0.5
11/09/2016,0.9575005,0
12/09/2016,0.9575005,0
13/09/2016,-2.25,0.147272727
14/09/2016,0.360001,0.5
15/09/2016,4.009994,0
16/09/2016,4.979996,0.057142857
17/09/2016,0.470001,0.282224026
18/09/2016,0.2350005,0
19/09/2016,0.2350005,0.5
20/09/2016,-1.699997,0
21/09/2016,0.580002,0.097111128
22/09/2016,1.209992,0.087310606
23/09/2016,1.020004,0.8
24/09/2016,0.770004,0.418181818
25/09/2016,0.385002,0
26/09/2016,0.385002,0.030208333
27/09/2016,-3.180007,0.197727273
28/09/2016,0.460006,0.128736773
29/09/2016,-5.570007,0
30/09/2016,3.330002,0.25
01/10/2016,4.834999,0
02/10/2016,2.4174995,0.345833333
03/10/2016,2.4174995,0.068181818
04/10/2016,-2.289993,-0.0125
05/10/2016,-2.949997,0.0875
06/10/2016,-7.460007,0.3
