Sentiment,Previous,Direction
0.096477348,-1,-1
0.083917749,-1,1
0.079047619,1,1
0.08875,1,1
0.108287546,1,1
0.18992381,1,-1
0.268458333,-1,-1
0.160075188,-1,1
0.086624112,1,-1
-0.02,-1,-1
0,-1,-1
0,-1,1
0.14,1,1
-0.066666667,1,-1
0.091051136,-1,-1
0.19375,-1,-1
0.4,-1,-1
0.11349026,-1,-1
0.163293651,-1,-1
0.028030303,-1,1
0.13,1,-1
0.066666667,-1,-1
0.175,-1,-1
0.04,-1,-1
0.070959596,-1,-1
0.03849915,-1,1
0.004867725,1,1
0.1,1,1
0,1,-1
0.175,-1,-1
0.148823529,-1,-1
0.129545455,-1,-1
0.095735931,-1,1
-0.1,1,-1
0.2875,-1,-1
0.326893939,-1,1
0.138533395,1,1
0.107142857,1,1
0.228571429,1,1
0.0359375,1,-1
0,-1,-1
0.1,-1,-1
0.289107143,-1,-1
0.437037037,-1,1
0,1,1
0,1,1
0,1,1
0,1,-1
0.240705357,-1,-1
0.098148148,-1,1
-0.009289322,1,-1
0.126547619,-1,-1
0,-1,-1
0.139393939,-1,-1
0,-1,-1
0.040740741,-1,-1
0.256426768,-1,-1
0,-1,-1
0,-1,-1
0.666666667,-1,-1
0,-1,-1
0.005744048,-1,-1
0,-1,1
0.123214286,1,-1
-0.004046417,-1,1
0,1,1
0,1,1
0.273452381,1,-1
0.2375,-1,1
-0.028571429,1,-1
0.121645022,-1,1
0.1,1,-1
0.103125,-1,-1
0.175902778,-1,-1
0.097287157,-1,-1
0.1125,-1,1
0.154295476,1,-1
-0.533333333,-1,1
0.167099567,1,1
0,1,1
-0.041666667,1,1
0.019444444,1,1
0.155208333,1,1
0,1,-1
0.083,-1,-1
0.083333333,-1,1
0,1,1
-0.15,1,1
-0.127645503,1,-1
0,-1,-1
0.245833333,-1,-1
0.003315496,-1,-1
-0.042592593,-1,-1
0.277777778,-1,-1
0.2125,-1,-1
0.2247595,-1,1
-0.1,1,-1
0,-1,-1
0.112815657,-1,1
0.386666667,1,1
0.2125,1,1
0.240680272,1,1
0.092462121,1,1
0.08538188,1,-1
0.083333333,-1,-1
0.286590909,-1,-1
